instance_path,instance_name,A,N,seed,algorithm,resultado,tiempo,memoria
data/instancias/inst_A25_N15_1_20251207185755.txt,inst_A25_N15_1_20251207185755,25,15,64,memo,4646,0.0024763000001257,31624
data/instancias/inst_A25_N15_1_20251207185755.txt,inst_A25_N15_1_20251207185755,25,15,64,dp,4646,0.0033466999993834,7008
data/instancias/inst_A25_N15_2_20251207185756.txt,inst_A25_N15_2_20251207185756,25,15,65,brute_force,4389,0.2730797000003804,832
data/instancias/inst_A25_N15_2_20251207185756.txt,inst_A25_N15_2_20251207185756,25,15,65,recursive,4389,0.0987033000019437,592
data/instancias/inst_A25_N15_2_20251207185756.txt,inst_A25_N15_2_20251207185756,25,15,65,memo,4389,0.0032451000006403,32200
data/instancias/inst_A25_N15_2_20251207185756.txt,inst_A25_N15_2_20251207185756,25,15,65,dp,4389,0.0042658999991544,7840
data/instancias/inst_A25_N15_3_20251207185756.txt,inst_A25_N15_3_20251207185756,25,15,66,brute_force,4900,2.434103099996719,960
data/instancias/inst_A25_N15_3_20251207185756.txt,inst_A25_N15_3_20251207185756,25,15,66,recursive,4900,0.6877663999985089,704
data/instancias/inst_A25_N15_3_20251207185756.txt,inst_A25_N15_3_20251207185756,25,15,66,memo,4900,0.0043765000009443,49976
data/instancias/inst_A25_N15_3_20251207185756.txt,inst_A25_N15_3_20251207185756,25,15,66,dp,4900,0.0048287999998137,7744
data/instancias/inst_A50_N5_0_20251207185759.txt,inst_A50_N5_0_20251207185759,50,5,67,brute_force,7712,0.0080367000009573,704
data/instancias/inst_A50_N5_0_20251207185759.txt,inst_A50_N5_0_20251207185759,50,5,67,recursive,7712,0.0034249000018462,384
data/instancias/inst_A50_N5_0_20251207185759.txt,inst_A50_N5_0_20251207185759,50,5,67,memo,7712,0.001423200003046,15504
data/instancias/inst_A50_N5_0_20251207185759.txt,inst_A50_N5_0_20251207185759,50,5,67,dp,7712,0.0031257000009645,7360
data/instancias/inst_A50_N5_1_20251207185759.txt,inst_A50_N5_1_20251207185759,50,5,68,brute_force,8964,0.0224545999990368,720
data/instancias/inst_A50_N5_1_20251207185759.txt,inst_A50_N5_1_20251207185759,50,5,68,recursive,8964,0.0224546999997983,544
data/instancias/inst_A50_N5_1_20251207185759.txt,inst_A50_N5_1_20251207185759,50,5,68,memo,8964,0.0037140000022191,26264
data/instancias/inst_A50_N5_1_20251207185759.txt,inst_A50_N5_1_20251207185759,50,5,68,dp,8964,0.0068396999995457,4736
data/instancias/inst_A50_N5_2_20251207185759.txt,inst_A50_N5_2_20251207185759,50,5,69,brute_force,7488,0.0082541999981913,704
data/instancias/inst_A50_N5_2_20251207185759.txt,inst_A50_N5_2_20251207185759,50,5,69,recursive,7488,0.0058911999985866,384
data/instancias/inst_A50_N5_2_20251207185759.txt,inst_A50_N5_2_20251207185759,50,5,69,memo,7488,0.0024593000016466,27712
data/instancias/inst_A50_N5_2_20251207185759.txt,inst_A50_N5_2_20251207185759,50,5,69,dp,7488,0.0043796999998448,6784
data/instancias/inst_A50_N5_3_20251207185759.txt,inst_A50_N5_3_20251207185759,50,5,70,brute_force,8722,0.0480327999975997,720
data/instancias/inst_A50_N5_3_20251207185759.txt,inst_A50_N5_3_20251207185759,50,5,70,recursive,8722,0.0272813000010501,512
data/instancias/inst_A50_N5_3_20251207185759.txt,inst_A50_N5_3_20251207185759,50,5,70,memo,8722,0.0038733000001229,26864
data/instancias/inst_A50_N5_3_20251207185759.txt,inst_A50_N5_3_20251207185759,50,5,70,dp,8722,0.0059287000003678,6176
data/instancias/inst_A50_N10_0_20251207185759.txt,inst_A50_N10_0_20251207185759,50,10,71,brute_force,8742,2.305049999999028,848
data/instancias/inst_A50_N10_0_20251207185759.txt,inst_A50_N10_0_20251207185759,50,10,71,recursive,8742,0.9272634999979346,640
data/instancias/inst_A50_N10_0_20251207185759.txt,inst_A50_N10_0_20251207185759,50,10,71,memo,8742,0.0091892999989795,51136
data/instancias/inst_A50_N10_0_20251207185759.txt,inst_A50_N10_0_20251207185759,50,10,71,dp,8742,0.0143994000027305,8128
data/instancias/inst_A50_N10_1_20251207185803.txt,inst_A50_N10_1_20251207185803,50,10,72,brute_force,9851,1.491658799997822,848
data/instancias/inst_A50_N10_1_20251207185803.txt,inst_A50_N10_1_20251207185803,50,10,72,recursive,9851,1.6912024000012025,704
data/instancias/inst_A50_N10_1_20251207185803.txt,inst_A50_N10_1_20251207185803,50,10,72,memo,9851,0.0097034999998868,38208
data/instancias/inst_A50_N10_1_20251207185803.txt,inst_A50_N10_1_20251207185803,50,10,72,dp,9851,0.0105129000003216,6720
data/instancias/inst_A50_N10_2_20251207185806.txt,inst_A50_N10_2_20251207185806,50,10,73,brute_force,7334,0.3997042999981204,832
data/instancias/inst_A50_N10_2_20251207185806.txt,inst_A50_N10_2_20251207185806,50,10,73,recursive,7334,0.3619178000008105,640
data/instancias/inst_A50_N10_2_20251207185806.txt,inst_A50_N10_2_20251207185806,50,10,73,memo,7334,0.0068333999988681,31784
data/instancias/inst_A50_N10_2_20251207185806.txt,inst_A50_N10_2_20251207185806,50,10,73,dp,7334,0.0090330000020912,10112
data/instancias/inst_A50_N10_3_20251207185807.txt,inst_A50_N10_3_20251207185807,50,10,74,brute_force,7286,1.0814252999989549,832
data/instancias/inst_A50_N10_3_20251207185807.txt,inst_A50_N10_3_20251207185807,50,10,74,recursive,7286,0.468741399999999,640
